x1,x2,label
5.479,-5.637,0
-1.222,3.259,1
7.172,5.337,0
3.947,-6.667,0
-8.116,-9.123,0
9.512,-1.208,0
5.223,5.48,1
5.721,3.016,0
-7.438,4.038,1
-0.992,-1.943,0
-2.584,-5.301,0
8.535,0.636,0
2.877,-5.913,0
6.455,4.525,0
-1.132,-6.061,0
-5.455,-4.175,0
1.092,0.131,0
-8.724,-0.266,1
6.553,2.017,0
2.633,-1.251,0
5.162,8.389,1
-2.909,6.799,1
9.414,7.582,0
7.862,2.59,0
5.568,2.7,0
-6.107,2.184,1
-0.666,-1.302,0
-9.124,-3.558,1
-6.914,1.84,1
3.661,-9.489,0
4.895,-9.851,0
9.35,7.033,0
-3.483,-9.072,0
-2.591,0.496,1
-0.609,2.3,1
-6.211,-6.037,0
-7.402,7.915,1
-0.486,-6.198,0
-5.462,7.69,1
3.396,5.26,1
-1.257,-5.185,0
6.654,-6.985,0
4.005,-3.675,0
-3.753,-2.041,0
6.645,-5.084,0
6.095,9.978,1
-2.25,-5.407,0
-4.233,6.613,1
3.65,-6.818,0
-7.205,9.605,1
-6.002,-5.49,0
-9.853,-1.566,1
5.738,1.171,0
3.297,-7.594,0
4.103,6.336,1
5.615,-4.506,0
-0.822,0.985,1
1.375,0.993,0
-7.204,2.053,1
-7.709,-8.89,0
3.368,-6.628,0
-0.578,-6.776,0
1.305,-3.959,0
5.3,-7.102,0
2.694,8.438,1
1.072,0.259,0
1.184,2.472,1
-3.921,-2.85,0
-9.384,-4.475,1
-1.266,0.064,1
-5.708,-4.114,0
-1.829,-3.127,0
7.068,-0.945,0
-5.321,0.115,1
-8.834,9.686,1
-4.372,-5.534,0
-4.128,-0.24,1
3.238,-7.01,0
1.141,-3.0,0
5.678,4.346,0
3.286,-6.511,0
-1.872,1.627,1
6.28,-1.666,0
-6.661,-8.968,0
-9.546,8.662,1
-8.199,-1.728,1
4.447,5.679,1
-0.762,-1.674,0
-6.775,8.747,1
0.021,-4.191,0
-6.954,-1.755,1
3.926,5.177,1
-1.077,-3.127,0
-2.38,-2.713,0
-3.97,9.896,1
2.606,1.112,0
-2.764,3.788,1
-8.247,2.869,1
-7.64,6.558,1
9.238,7.237,0
8.172,1.265,0
3.994,-4.109,0
-4.683,-9.544,0
9.384,2.288,0
5.575,6.509,1
4.338,-0.989,0
-1.013,-6.706,0
-4.555,-4.238,0
-8.072,0.2,1
8.052,6.734,0
-0.884,-6.565,0
-5.953,2.243,1
-3.881,5.067,1
1.584,8.721,1
-6.465,-7.666,0
7.132,8.528,1
5.17,2.029,0
4.389,5.334,1
-1.358,-8.925,0
2.546,0.123,0
1.682,2.453,1
2.997,-3.863,0
-8.311,-1.367,1
-1.684,1.086,1
-9.168,1.051,1
-0.12,-9.163,0
-3.403,-1.21,1
-7.11,-5.724,0
-7.932,8.334,1
1.753,9.532,1
-6.588,-4.007,1
8.502,-6.496,0
1.621,-5.61,0
-3.063,-0.445,1
1.818,7.49,1
-9.544,0.001,1
9.171,-8.892,0
-0.354,-9.202,0
